Hourly Dry Bulb (deg C),Hourly Wet Bulb (deg C),Hourly Direct Normal Irradiance (W/m2),Hourly Diffuse Horizontal Irradiance (W/m2),Hourly Global Horizontal Irradiance (W/m2),Hourly Albedo,Hourly Wind Speed (m/s)
6,2.631776544,284,54,104,0.16,3.6
6.1,3.441923367,163,137,190,0.16,4.1
6,5.392752794,537,155,386,0.16,0
7,5.775175572,643,163,481,0.16,2.1
8,6.262507911,296,239,389,0.16,2.6
8,6.979544883,646,160,466,0.16,1.5
9,7.940395344,631,120,366,0.16,0
10,7.625251711,532,106,247,0.16,6.7
9.4,6.892092533,0,0,0,0.16,5.7
9.4,7.2239398,0,0,0,0.16,6.2
10,6.932775867,0,0,0,0.16,4.6
10,6.28772225,0,0,0,0.16,4.6
10,6.680633689,0,0,0,0.16,8.8
10,7.868109572,0,0,0,0.16,4.6
10,8.383803283,0,0,0,0.16,3.6
10,8.677607967,0,0,0,0.16,8.2
10,8.610068567,0,0,0,0.16,4.1
10,8.458792033,0,0,0,0.16,4.6
8.3,8.7100998,0,0,0,0.16,2.1
7.8,7.969434522,0,0,0,0.16,2.6
7.2,7.744392956,0,0,0,0.16,1.5
6.7,7.620018478,0,0,0,0.16,0
7.2,8.058195078,0,0,0,0.16,0
7.2,8.431202106,62,1,2,0.16,2.6
6.7,8.122231172,379,48,115,0.16,3.6
7.2,8.5260358,568,87,271,0.16,2.1
7.8,8.798527106,712,100,408,0.16,0
9.4,8.576120161,756,112,486,0.16,0
10.6,8.136901206,791,108,513,0.16,2.6
9.4,8.243859483,572,160,432,0.16,3.6
13.3,8.099072811,465,175,358,0.16,5.2
11.1,8.539049717,0,98,98,0.16,9.3
10,8.93286295,0,0,0,0.16,9.8
9.4,8.297801039,0,0,0,0.16,7.7
9.4,8.538399822,0,0,0,0.16,5.7
9.4,8.298299739,0,0,0,0.16,5.7
9.4,7.93816595,0,0,0,0.16,6.2
10,7.938354394,0,0,0,0.16,5.2
10,8.5305281,0,0,0,0.16,3.6
10,9.490451872,0,0,0,0.16,3.1
9.4,8.988503406,0,0,0,0.16,5.7
9.4,8.72003385,0,0,0,0.16,6.2
9.4,8.620585928,0,0,0,0.16,4.6
9.4,8.72003385,0,0,0,0.16,3.1
10,8.865980406,0,0,0,0.16,2.1
9.4,8.576905833,0,0,0,0.16,3.6
9.4,8.693540261,0,0,0,0.16,3.6
9.4,8.896987428,0,1,1,0.16,4.1
9.4,8.90231335,0,49,49,0.16,2.6
8.9,8.889632967,0,81,81,0.16,2.1
11.1,8.910610772,0,102,102,0.16,2.6
11.7,9.168622989,89,233,278,0.16,3.1
12,9.313703411,489,193,444,0.16,1.5
11.1,9.038435072,461,178,399,0.16,0
11.1,8.908253989,363,169,313,0.16,3.1
10,8.916888194,409,142,253,0.16,2.1
10,8.601795444,0,0,0,0.16,6.7
10,8.118894178,0,0,0,0.16,6.2
10,8.544718689,0,0,0,0.16,6.2
9.4,8.301474528,0,0,0,0.16,5.7
8.9,8.541891044,0,0,0,0.16,1.5
8.3,8.632879239,0,0,0,0.16,0
7.8,7.543943928,0,0,0,0.16,0
8.3,6.667245728,0,0,0,0.16,4.1
7.8,6.474427233,0,0,0,0.16,3.6
8.9,6.793058078,0,0,0,0.16,1.5
7.8,6.979262194,0,0,0,0.16,2.1
8.3,6.667245728,0,0,0,0.16,0
8.9,6.80364275,0,0,0,0.16,1.5
7.8,6.999996494,0,0,0,0.16,2.6
7.2,6.999996494,0,0,0,0.16,2.6
7.2,6.995769583,29,2,2,0.16,2.1
6.7,7.277302144,20,59,63,0.16,1.5
7.2,7.762879039,22,140,147,0.16,0
